,userId,score,profession,group
0,13,45,Artist,Group 3
1,17,99,Doctor,Group 0
2,11,28,Engineer,Group 3
3,20,60,Scientist,Group 0
4,4,87,Teacher,Group 0
5,18,35,Artist,Group 1
6,2,98,Doctor,Group 1
7,6,19,Engineer,Group 2
8,5,55,Scientist,Group 1
9,19,83,Teacher,Group 1
10,8,33,Artist,Group 2
11,7,94,Doctor,Group 2
12,16,6,Engineer,Group 1
13,15,51,Scientist,Group 2
14,9,79,Teacher,Group 2
15,3,23,Artist,Group 0
16,12,91,Doctor,Group 3
17,1,5,Engineer,Group 0
18,10,43,Scientist,Group 3
19,14,72,Teacher,Group 3
